username,date,Helpful count,stars,review title,Review text,Badges,Top Contributor
EGH923,"Reviewed in the United States on June 11, 2014",,5.0 out of 5 stars,"Great, great, great read","This is the second book in the trilogy by the late Stieg Larsson.  As with the first book, it grabs you attention at the very beginning and holds it till the end.Like any really good book, it leaves you wanting more at the end.I won't go into the story line of the book, Amazon has already done that.  I'm just telling people that this trilogy surprised me greatly when I bought and started reading ""THE GIRL WITH THE DRAGON TATTOO.""  I then purchased the second and third books and was not let down.  They are all great books.The only thing that is a little frustrating for me is that the author is Swedish and the setting is in Sweden.  I've never been to Sweden and know nothing of the geography of the country and Larsson includes a fair amount of geographical descriptions.  I just read thru those passages without comprehension, does not detract from the story.",,
p_abc85,"Reviewed in the United States on May 21, 2015",,5.0 out of 5 stars,A book with an exciting ending,"Three people are murdered at the little town of Enskede and Odenplan, and it is the task of Mikael Blomkvist and his colleagues at Millenium to discover who did it.We hear about Blomkvist and the team at Millenium who must investigate the crime. While the names can be a bit difficult to remember, it is interesting reading. Larsson gives a lot of background information that helps the reader to understand the various roles that the people have in the investigation.Lisbeth Salander plays a major role in the book; we learn about her idiosyncrasies and learns more about her, as she is suspected of killing the three persons. But it is also interesting to follow the investigation at Millenium, and in particular the role that Mikael Blomkvist plays in the story.""The Girl Who Played With Fire"" is an excellent book by Stieg Larsson, and in my opinion better than the preceding book in the trilogy, ""The Girl With The Dragon Tattoo"". The ending is propably the best part, so if you feel that the book is a bit long, don't give up; you have the best and most exciting part of the book to look forward to.",,
James R. Gilligan,"Reviewed in the United States on September 27, 2010",,3.0 out of 5 stars,Middle child syndrome,"The second installment in the Millenium trilogy delves more deeply into the history of the title character, Lisbeth Salander. Larsson weaves an entertaining and complex tale of political intrigue, sexual perversion, and family dysfunction, but--as was the case with the first novel--the narrative is uneven and sometimes meanders as it attempts to find its identity. Part psychological character profile, part political thriller, part police procedural, part social critique, The Girl Who Played With Fire is a frustratingly inconsistent novel. For example, after one of the most dramatic and shocking moments in the book, Lisbeth Salander simply disappears from the story--I know this dramatic convention is intended to parallel the secrecy she must maintain as a result of the events in the story, but just when the action is at its most intense, Larsson chooses to dwell on the nuts-and-bolts details of the police investigation. Perhaps this novel simply suffers from middle-child syndrome, common among many middle books in literary trilogies--as the ending of this novel clearly indicates, its most important function is as a bridge to the concluding novel, The Girl Who Kicked the Hornet's Nest.",VINE VOICE,
Alex Hutchinson,"Reviewed in the United States on January 12, 2012",,3.0 out of 5 stars,The Girl Who Started a Slow Burning Fire,"Sometimes the second book is a series is merely a springboard for future events, that appears to be true in ""The Girl who Plays with Fire."" The story line slowly picks up from the first book but with some disconnected elements that neither grow the main character of Lisbeth Salander, nor do they advance the story in any meaningful direction. By the time the ball gets rolling we are subjected to a slowly growing mystery surrounded by limp minded characters who struggle to figure it out. As a reader I was intrigued as to where it was going until I figured it out half way through. After that the fun was gone. The remaining pages lead into unsatisfactory action sequences developed without pretext.The question is, am I still entranced enough to find out where this could possibly go in the third book? The answer is yes. Lisbeth Salander is a good enough character to carry you all the way through. The action of the books, whether captivating or sleepy never seems to hurt her strength as a driving force towards turning the next page.",VINE VOICE,
Amazon Customer,"Reviewed in the United States on September 6, 2012",,5.0 out of 5 stars,Millennium Book II Fantastic!,"This is the second novel of the Millennium trilogy. (Do not read out of order) It is an excellent book and I couldn't put it down-just as I couldn't with the other books in this trilogy.  In this book, the reader is able to see Lisbeth try to change herself for the better, physically and emotionally through her experiences traveling. When she goes home to Sweden she is in for a surprise.  Lisbeth's past is revealed to the reader in this novel, her traumas, her family, her friends, which gives the reader insight about her character flaws and and how she ended up the Lisbeth that readers love.  We see Lisbeth's mathematical mind in this novel,we get to know her and understand her a little bit more.  We also see her as she attempts clean up all the childhood messes in her life in order to move on to a more adult life. I would however recommend buying all three books in a package deal, I ended up buying each one individually and paid a little more. But this book is an excellent book, do not overlook this one!",,
Claudine Wolk,"Reviewed in the United States on June 8, 2010",One person found this helpful,5.0 out of 5 stars,This Second Book In Series Is Even Better Than the First,"Oh kids, if you enjoyed the Stieg Larsson's first book in this series, The Girl With The Dragon Tattoo, you are going to DEVOUR the second installment.  The Girl Who Played With Fire has wings!  Larsson takes off where The Dragon Tattoo leaves off focusing on the Salander character and reviving the roles of Berger and Blomkvist.  We learn much more about Salander and like her even more (as if that were possible.)  As Salander adjusts to be being a millionaire loner, she's drawn into another mystery.  This time it's personal and she must take action. At the same time, Blomkvist is working on a new story, one involving a young girl prostitution ring.  Just as Blomkvist and his magazine and publishing company, Millennium, are about to go public with their ground-breaking story, Blomkvist and Salander's lives collide again.  This time, they are in contact through the computer, but their communications are just as salacious.  The end result is a fast-paced thriller that you simply CANNOT put down.  The book ends on the kind of hook that forces you to purchase the next installment immediately - thank God for the Sony reader.",,
Sara Hathaway,"Reviewed in the United States on May 31, 2009",2 people found this helpful,5.0 out of 5 stars,Slowly revealing Lisbeth,"Lisbeth Salander, an angry young hacker and cyber-embezzler, is out of the frying pan and into the fire as the prime suspect in three murders.  Yet Larsson hides from the reader key details about how Lisbeth became a suspect and whether she is guilty - we don't want to believe it, but there are these facts to consider. . . . Slowly the third person narrator takes the reader inside the heads of key players to reveal some - but not all - of Lisbeth's secrets as well as the hidden actions and motives of people all around her.Mikael Blomqvist returns to do what he can to defend his former lover, whom he believes to be innocent. Larsson sustains the tension in their relationship by almost but not quite bringing the two face-to-face throughout most of the book.While I know little about computer technology, I appreciate that Larsson included 21st Century technology in his plots.  In this era, I expect brilliant sleuths to use the Web but hope they won't get too technical or cross the line into the kind of computer science fiction I suspect I am seeing on some tv detective shows.  Lisbeth's skill as a hacker and user of gadgets manages to strike the right balance.This sequel does a good job of developing the terrific main characters from Larsson's ""The Girl with the Dragon Tattoo"".  Lisbeth is a fresh, tough and fascinating 21st Century woman and this book shows us some of the sources of her smart and skeptical nature. I look forward to learning more about her complex background and inner life in the next installment of the trilogy.  I already suspect that the first chapters of ""Fire"" will play an important role in the plot of the third book.",,
low ryder,"Reviewed in the United States on June 12, 2015",,5.0 out of 5 stars,Good read if your patient,"This is one of my favorite series of books but keep in mind that these are not for everyone. It took me a while to be able to get into this authors writing style. This writer goes into insane levels of detail developing characters, every character of this story is meticulously described and developed. He throws so much detail into the story that it is really inconceivable how he does it. You will know these characters inside and out after you read the last book. If you can get past the crazy level of detail you will see what an interesting story these books contain. Each book is 1/3 of the total story. They contain a lot of surprises and its really crazy how the author is able to pull the entire story together. Good read if your patient.",,
R. Featherly,"Reviewed in the United States on June 17, 2014",,5.0 out of 5 stars,Probably the Best Book of This Stunning Series,"Stieg Larson does it again with an exciting follow-up to his first offering, The Girl with the Dragon Tatoo. This book digs deeper into the background of this most unusual, brilliant, troubled, character... and the evil forces that have been plaguing her since childhood. Probably the best of the series, this offering moves the focus from the male magazine publisher, frimly to this complex female investigator and her exploits.We are all awaiting the production of this movie, but apparently there are big battles underway over the rights to Larson's estate. However, with a little imagination, Lisbeth Salander could certainly become an exciting female James Bond type character that playwrights and studios could ride for years.A great read.RLF",,
Shelly Reed,"Reviewed in the United States on July 4, 2019",,4.0 out of 5 stars,Great sequel,"This was such a good sequel to the Girl with the Dragon Tattoo!! It’s action packed, and will suck you on like the first one did. Lisbeth Salander is accused of murdering three people, and we learn more about her past, family, and why she is the way she is. Can’t wait to read the third book as well.",,
D Earle,"Reviewed in the United States on March 19, 2011",,4.0 out of 5 stars,Digs deeper into the past,"This second novel in the Millennium trilogy digs deeper into the past of Lisbeth Salander. The book opens with Lisbeth on holiday in Granada, figuring out what is going on with the couple in the next door room and solving esoteric maths problems.  A hurricane interrupts her sojourn and forces her back to Sweden, where she confronts her life and her past.The first part of the novel sets up the readers sympathy for Lisbeth's off-beat lifestyle and broken character. Only to be brutally interrupted by a triple murder. From there the novel turns to a full-scale police hunt as various parties strive to uncover the truth. A truth that will bring to light ""All the Evil"" and uncover Lisbeth's past.The story is compelling right to the end. Unfortunately, the ending is somewhat far fetched and stretches credibility. Maybe if the author had survived, it would have been reworked. As with the Girl with the Dragon Tatoo there are also some aspects that are not well drawn together. In spite of this, it is one of the most gripping stories I have read for a long time.",,
A.Z. Paris,"Reviewed in the United States on April 10, 2010",One person found this helpful,5.0 out of 5 stars,Great writing with an interesting twist...,"Stieg Larsson's follow-up to ""The Girl With The Dragon Tattoo"" was better, in my opinion.  The first of the series was a bit over-technical for me, but still a good read that left me looking for more.  I was not at all disappointed in the sequel.  There was no particular techno-jargon, just good writing that held me until the end.  Although nearly twice as long as the first book, it took maybe half as long to read because of the lack of the aforementioned techno-jargon.  As in the first book, the dialogue was believable and its use added to the  the story.  ""The Girl Who Played With Fire"" is really a book about Lisbeth Salander than Michael Blomkvist, as is ""The Girl With The Dragon Tattoo.""  All the characters of Millenium are there except for old Henrik Vanger.  There is some continuity with Harriet Vanger, the heroine of the first book, taking a supporting role, but that part of the story is less believable.  The story opens with Lisbeth ending her travel around the world and returning to Stockholm.  The police are believably short-sighted and there are officers with agendas and prejudices as one would expect.  The ending sufficiently tied up the loose ends, but does leave one wanting for more.  The Kindle edition of the conclusion is due out on May 25, and I can hardly wait!",,
Margie Read,"Reviewed in the United States on April 9, 2010",,5.0 out of 5 stars,Larrson does it again!,"One of life's great pleasures is finding a good book. To find two in a row is exceptional good luck, but this is the case when reading Stieg Larsson's The Girl Who Played with Fire right after finishing The Girl with the Dragon Tattoo. Both volumes classify as the best books of the year in my opinion. Larsson's writing is excellent, and the translation comfortable to read. His characters will go down in literature as outstanding. Just try to forget Lizbeth Salander! The manner of plotting both novels is fresh and clever and they flow together. Each can stand alone, but they blend so well, it adds to reading enjoyment to read them in sequence. I will leave the outlining details to the many other reviewers who have covered them well and simply conclude with the recommendation to beg, borrow, or buy (help the economy and booksellers) your copies, cancel any upcoming events on your schedule and prepare to be entertained, enlightened and educated for the period of time you will spend reading Larsson's work. It's hard to wait til May for the next, and with regret, the last volume of this terrific trilogy.",,
B. Joseph,"Reviewed in the United States on August 17, 2009",2 people found this helpful,5.0 out of 5 stars,Another home run by Stieg Larsson,"I would highly recommend that one read the first part of the trilogy (Dragon Tattoo) before reading Fire.  Then you will enjoy this book far more than if you did not. I must say that Dragon was a superior book but you will enjoy Fire as well.Lisbeth Salander and Mikael Blomkvist are back.  We learn more about Salander,and her parents but we are left hanging about her sister Camilla (maybe she will show up in part 3, the Hornets nest).  This fast moving multilayered thriller concerns a multiple murder investigation that is carried on by 3 parallel parties: the police, Blomkvist and Salander.  The complex areas where Salander intersects international espionage, official corruption, sex trafficking and Swedish politics is what makes this book tick.  The ending is rather abrupt and somewhat unbelievable - one learns that a Browning .22 does far less harm than a Sig Sauer and that hunting ammo is far more lethal than an ordinary bullet.  Larsson's books are among the best fiction books I have read.  I cant wait for the the final book and I am sorry that there wont be anymore due to the untimely death of the author.",,
Sean Sheikh,"Reviewed in the United States on February 8, 2012",,4.0 out of 5 stars,Great follow up to the first,"People familiar with The Girl with the Dragon Tattoo (Movie Tie-in Edition) (Vintage Crime/Black Lizard) or the movie, have undoubtedly looked up what's to follow in the series. The Girl Who Played with Fire is part two in the series, and follows beautifully.The books centers around a murder mystery involving the lead protagonist, Lisbeth Salander. Three people are found dead and the weapon shows Lisbeth's fingerprints. A cut and dry case? Maybe not.The book can be read without knowledge of the first; it gives a good background on each character. Although the first 200 pages or so are relatively calm, the book quickly speeds up. The mystery, story, and action are great. Most would agree it's more gripping than the first. Anyone looking for a great page-turner will be pleased.The movie rights have been confirmed by Sony which is intending a late 2013 release. Daniel Craig and Rooney Mara will continue their roles.",,
Art,"Reviewed in the United States on November 17, 2010",One person found this helpful,5.0 out of 5 stars,Better than first book,"I'll keep it simple:  if you liked the first book this one is an obvious no brainer, as its better in every way.  If the first book left you on the fence, take the plunge with this one, and you wont regret it.  If you didnt like the first book at all, well, why are you reading this review?There is no boring recitation of financial fraud, as in the first book, and there is a single unified plot, rather than two separate plots as in the first book.  It thus requires a lot less boring backstory, and the action, mystery, suspense, whatever you liked from the first book, picks up right away and keeps going.  The main characters from Girl with the Dragon Tatoo are here, and if you liked them there, you'll surely like them here.Last I checked, the first one had 4 stars, and this one had 4.5 stars over thousands of reviews.  I myself think the difference is even bigger than that, but there isnt much point in discussing it in detail.  If you liked the first book, just stop reading reviews and buy the second.",,
Amazon Customer,"Reviewed in the United States on March 29, 2016",One person found this helpful,4.0 out of 5 stars,I read this book much more quickly than The Girl with the Dragon Tattoo and I really enjoyed the first book in the trilogy as we,"Kept me engaged through the entire book.  I read this book much more quickly than The Girl with the Dragon Tattoo and I really enjoyed the first book in the trilogy as well.  It's hard for me to tell whether that was because it was more exciting/engaging/suspenseful or if it was because I was more connected to the characters.  It was both frustrating and understandable that this book ended on more of a cliffhanger that indicated that it was very much going to be directly connected to the third book.  Frustrating because I wanted a more finite end to this book, like The Girl with the Dragon Tattoo, but understandable because I could not wait to start the third book in the series (which I'm enjoying, but finding to be a little more difficult to fly through like I did with this one).  I would recommend this trilogy to someone who likes suspenseful, crime stories and is prepared to be invested in the entire lives of these characters by being prepared to read all three books.",,
Dave Edmiston,"Reviewed in the United States on October 20, 2010",,5.0 out of 5 stars,Fantastic Sequel,"The Girl Who Played with Fire is a fantastic sequel to Stieg Larsson's The Girl with the Dragon Tattoo.  The action picked right up at a compelling pace, but didn't just start up where the last book left off.Don't read this if you haven't read the first book.  It just wouldn't be the same.I don't want to give away any of the plot, but I have to vent about one ""jump the shark"" moment towards the end of the book.  I was shocked by the massive plot pothole and very disappointed with how Larsson resolved it.  I had to consciously suspend my disbelief and decide to forge ahead as if all were OK.  Kind of like stepping in dog doo and then deceiving yourself into believing that ""yeah, I actually like the smell"".  That should have cost this five-star book a star, but the rest of the book was just too doggone good.And just like with book one where I felt like a chain smoker lighting up the next one with the last one, I had to jump right into the third book, The Girl Who Kicked the Hornet's Nest.",VINE VOICE,
Italo Perazzoli,"Reviewed in the United States on May 29, 2011",,4.0 out of 5 stars,The Girl Who Played with Fire,"In this book you won't only find mysteries and involving stories but there is enough space for many elements of the police procedures and surprisingly the Fermat's last theorem and  old Swedish stereotype telling that Sweden is a sexually promiscuous place in other words the feminine universe is heavily denigrated by an homophobic society.The antithesis of this masculine's philosophy is Lisbeth Salander, Mia Johansson and (surprisingly) a man called Dag Svensson (in my opinion the voice of the author of this trilogy)The most complex character is obviously Lisbeth Salander as we know, she's been officially declared incompetent but in reality she is a brilliant researcher and also, she is able to absorb a continuous and subtle degree of pain.Nevertheless she won't use her hate against the society but on contrary she will fight against the rapes and every king of abuse against women where (in my opinion) the main symbol is Nils Bjurman's tattoo.CheersItalo",,
Matthew Pinzur,"Reviewed in the United States on December 18, 2009",One person found this helpful,3.0 out of 5 stars,"Fun beach read, but a letdown after his Dragon Tattoo debut","A good airplane/beach read, but sadly not up to the standards of Girl With The Dragon Tattoo. Tattoo was a slow burn to a great climax, filled with textured characters and shifting suspicions. Fire is more of a roller coaster - lots of ups and downs, plenty of cheap thrills but not ultimately memorable. Returning characters have their impressive skills elevated to superhuman levels, requiring another degree of magnitude on the suspension-of-disbelief meter. The villain is more James Bond-ian than Hannibal Lechter-esque and the plot is overstuffed with extraneous characters and the kind of quick thrills that make me wonder whether he had hopes of a movie deal. Others have commented on his obsession with brand names and model numbers, which borders on silliness - he spends an entire page listing the models of IKEA furniture bought to outfit a new apartment. Nonetheless, this is better-written and than a typical pulp mystery, and much of it is simply hard to put down. Only disappointing, really, in comparison to the stronger earlier novel.",,
Eliot Kaplan,"Reviewed in the United States on December 1, 2013",,5.0 out of 5 stars,My final AudioBook CD purchase..,"My last physical AudioBook CD purchase (already 3+ years ago by the time of this review).. I moved on to Audible shortly thereafter. A great Amazon subsidiary, and a much better way to go. Instant downloads wherever you are.As for the story. it was excellent! Incredibly compelling, though dark and sprinkled with occasional violence, which I don't usually go for. I went through the whole trilogy in a few weeks! But the writing transcended the violence, and the young tech savvy female protagonist is so well drawn as a modern underdog who unintentionally evolves to heroic stature over the series. The forces arrayed against her, that is, the modern state, through it's medical/psychological & legal establishment, are fierce and relentless, as is their nature. A wonderful female David and Goliath tale.",,
Mama Z,"Reviewed in the United States on May 28, 2010",One person found this helpful,5.0 out of 5 stars,Caution:  Highly Addictive,"The second in Larrson's Millenium triology is even better, in my opinion, than the first, which I loved! Lisbeth Salander is a compelling protagonist, and this series is the ultimate female revenge story. The writing is solid, the plotting inspired, and the characterization (which may drive readers crazy because Larrson includes so MANY diverse characters) is expert. Readers who struggle with non-American pronunciations may be a bit overwhelmed at trying to ""hear"" the Swedish names and locations as they read, but I found myself working to try, just because I wanted to be that much more immersed in a great story! Another caution:  this book has some disturbing violence and a distinctly non-American view of sexuality, but its theme is the failure of governments and law enforcement in the area of sexual exploitation.  Sounds like strange magic, and it is. The final installment came out this week and I bought it!  How tragic for everyone that Steig Larsson died so young!",,
John Jenkins,"Reviewed in the United States on February 18, 2012",One person found this helpful,3.0 out of 5 stars,Several chapters lacked purpose,"The first 150 pages of The Girl Who Played with Fire could have and should have been condensed to about 15 pages.  The reader does not care about how Lisbeth Salander furnished her new apartment with selections from her local IKEA.  But, for the remainder of the book, the plot was well developed.In the first book of the trilogy, Lisbeth Salander survives and thrives because she is committed to her goals and because she is clever and resourceful.  In this book, she is transformed into something of a female Rambo, which is only partially explained.To say that Ms. Salander is a fighter by nature is an understatement.  But having a fighting nature and being clever and resourceful does not explain how a heavy smoker who is as small as she is has the endurance and the strength to elude and overpower adversaries like she does in this novel.",,
Misanya,"Reviewed in the United States on April 18, 2015",,5.0 out of 5 stars,... I have to say that this series is the best written out of all of them,"I've been reading mysteries for years and I have to say that this series is the best written out of all of them.  The reader does have to stay on top of the context as it takes place in a foreign country with unfamiliar locations and colloquial references but I think that makes it more interesting at the same time.  The plot for the 2nd book in the series is even better, possibly due to our familiarity with the characters and the reader has more investment in the story.  I really couldn't put the book down and was fine with the abrupt ending and wanted to start the last book in the series right away to find out what happens.  I highly recommend these books and hope you enjoy.",,
John A. Brissette,"Reviewed in the United States on October 26, 2013",One person found this helpful,4.0 out of 5 stars,excellent thriller...a long read but worth it,"This is the second of Larsson's 3 books. Note that while you neeeent have read the previous book, it does enhance the experience, as you've already established a connection to the characters & are instantly interested in the outcome here. The book is an exceptional thriller/crime drama that highlights cyber-crime, espionage, sex trafficking, investigative journalism & the states abuse of power. It is a long & detailed read, which is a Larsson hallmark as the meticulous nature of his writing is what makes the characters so deep. However, don't expect a quick ""beach or airplane read"". Definitely worth the time & oh, did I mention the cliffhanging ending????",,
Marden H. Seavey,"Reviewed in the United States on March 30, 2010",One person found this helpful,5.0 out of 5 stars,Exciting to the end,"I finished this book by Stieg Larsson several days ago and it was exciting to the end, unlike the first book in the series which was not so exciting in the last few chapters after the main mystery had been unraveled, but was still extremely interesting. There are a number of riddles in the second book that get solved as the end is approached. You are kept in suspense, especially about what will happen to the main character, Lisbeth Salander, right up to the last page. Her closing words made me laugh and then made me wonder what will come next. For that I'll have to wait for the third and final book in the series.One way to describe this book is as an interaction of extreme personalities with a society that is both baffled and corrupt. The extreme personalities are three. First, the girl, Lisbeth Salander is a complete genius who has been terribly mistreated but retains high moral principles in spite of her bizarre behavior. Second, there is an enormous hulk, called the blond giant, who deals out extreme punishment to those who are disapproved of by his master. Third, there is the master himself, a twisted but brilliant schemer who controls an underground of murderous thugs and is not seen until near the end of the book.The good guy is again Mikael Blomkvist who works tirelessly to solve the riddles and help Lisbeth even though for awhile he's not sure of her innocence. Perhaps the author in real life gave Mikael his own personality and that is why he had the unfortunate heart attack at the age of 50 from overwork.Then there is the rest of the society, the magazine where Mikael works whose beautiful publisher is having an ongoing affair with him, the security agency with its thoughtful director who Lisbeth has done jobs for, the police department, ever confused about how to interpret what's happening, with its good guys and bad guys, the subculture of the sex trade which has its tentacles into mainstream society. Yes, it's a complex mix of personalities and culture showing the nasty and hypocritical underbelly of that seemly well ordered Swedish society. But most of all it's an exciting detective story that keeps you in suspense through to the very last page!",,
Jenn,"Reviewed in the United States on October 10, 2010",2 people found this helpful,5.0 out of 5 stars,everyone was right,"I'm a bit of a contrarian and often steer clear of what everyone else is reading.  But there was too much buzz around this to ignore it, and I learned there's a reason everyone's reading this book.  It's amazing.  Great characters, great plot.  I don't read a lot of foreign authors because I feel I'm missing something as far as the specific cultural references.  For instance, referring to neighborhoods in a particular city -- if an American novel, set in New York City, states ""she used to live in Brighton Beach, but now she lives on the upper east side,"" I understand what that connotes.  If it's said about two neighborhoods are in Copenhagen, I have no idea what that signifies.  I ran up against a little of that in this book...it makes me feel like I didn't get it, one hundred percent.  It's my basic problem with non-US-based literature.  That being said, the 90 or 95% I did get was wonderful.",,
L. Paul,"Reviewed in the United States on August 1, 2018",,5.0 out of 5 stars,Riveting Fiction,"Tense, taut, and brilliantly written this was a pure joy to read. Although it deals with a subject that as a Mom, I find painful to read about it was handled deftly and I wish I'd discovered his books long ago. Although this was the third in the series, I read it first and had no trouble following along with the plot and the characters, all rich and deeply explored.",,
Bradley Corwin,"Reviewed in the United States on October 2, 2012",,5.0 out of 5 stars,Thrilling Book and a Great Sequel!,"It's hard to review a book without giving away too much.  Stieg Larsson does a very good job and portraying the characters and their thoughts and motives as the book progresses.  There are a few moments in the book where my mouth fell open, astonished at what I had just found out and other moments had my heart racing and me on the edge of my seat.  The book starts off with so many questions and slowly answers them but it is really engaging and you find yourself being the detective, trying to piece together the clues and solve what happened.  It is a very hard book to put down and keeps you thinking about it and wanting more afterwards.  I am about to read the third book to conclude the trilogy.  As with the first book, I recommend The Girl Who Played With Fire, you will not be disappointed.",,
J'adore Books,"Reviewed in the United States on June 22, 2014",,5.0 out of 5 stars,Even better than the first!,"I very much enjoyed the first book and was hoping this would live up to the same standard, however, if anything, it exceeded it.  So much takes place through this book from beginning to end, and I just could not put it down.  So much mystery with plot twists and action took place constantly and is a real page turner.  I absolutely love the female character in this, Lisbeth, and is perhaps my favorite lead female character of any book I've read, and I really enjoy learning more about her and finding out why things are the way they are.  Brilliant book, and I've already made a start on book 3.  A very easy and entertaining read which will keep you thinking until the end.",,
Amazon Customer,"Reviewed in the United States on August 7, 2014",,2.0 out of 5 stars,So disappointing!,"I skim read my way through this story just to keep up with the crux of it. This story had way too many fillers in it. Frankly I was not interested in her heterosexual love life.  I was not fascinated by her world travels , nor was I interested with her fascination of mathematical puzzles and cannot Imagine why I had to waste my time reading about her selection of IKEA furniture for her fabulous and thoroughly described apartment. REALLY??!! There were parts of this story that made no sense at all. What an incompetent police department! Spoiler alert..how in the world did the hero overcome the hulk at the end and furthermore, how did he find the heroine?Yes, I must say disappointing.",,
Jones,"Reviewed in the United States on January 13, 2010",2 people found this helpful,4.0 out of 5 stars,Could not put it down,"I really liked this edition, once I picked it and the story began to take off, which was somewhere around the one hundred and twentieth page or so, it proved to be very difficult to put down. There were many, many twists and turns as the plot began to unfold, and you discover what really happened to land her in the foster care system, mind you this is Sweden and not America. How her mother came to pass, that she is not an only child, and what is most curious is who her father is and how her relationship with him developed and in general her disdain or love for him grows. It is her relationship with her father, her friends and Blomkvist, how these relationships play out and mature. She is after all on the run and in hiding for being an accused murderer, and as you read, you will discover much about her history and the people that she has come to respect and admire.",,
Cheryl D,"Reviewed in the United States on August 5, 2009",One person found this helpful,4.0 out of 5 stars,Looking forward to the next one!,"While you don't necessarily ""have"" to read the first book ""The Girl With The Dragon Tattoo"", like others...I would highly recommend it.  I found this book (the second in a trilogy) to be superior to the first in readability.  Maybe because I was already used to the odd names that were used because the story is set in Sweden.  Yes, I realize that the names are only odd for me, since I'm American, but that's all I have to go on.I read the book on my Kindle.  I don't know if that plays a role, but the editing of this book left a bit to be desired.  Words misspelled, spaces missing in sentences, etc.  However, it was only mildly distracting.  I thoroughly enjoyed the story and am looking forward to the third, and final, book in the series.  It's a shame that Mr. Larsson passed away shortly after delivering the manuscripts for these three stories....I would have liked to have read more from him.",,
Carol Mayer,"Reviewed in the United States on July 28, 2010",One person found this helpful,4.0 out of 5 stars,I'M HOOKED,"Mr. Larsson's first book, The Girl With the Dragon Tattoo, sucked me in and now I must read the next two in the series.  I was a bit less engrossed with The Girl Who Played With Fire, and I'm not certain why.  If the scene didn't involve Lisbeth, I found myself anxious to move on through the less interesting parts (a lot of detail) to get back to her.  Also, I feel that Lisbeth would never, ever consider getting breast augmentation. Such a procedure could be construed that she was lacking in some way because she had small breasts. Uh? Sorry to you five-star fans, but I believe the author's own anatomical preferences and sexual fantasies may have sent an unwilling Salander to the plastic surgeon.  I think little Lisbeth with a big attitude would have said, ""If they don't like me the bleeping way I am, then bleep them!"" Aside from these small details, I still liked the book and would recommend it.",,
Anna McCall,"Reviewed in the United States on September 8, 2010",,5.0 out of 5 stars,Salander and Blomkvist are back!,"I could hardly wait to get my hands on this after devouring ""The Girl With the Dragon Tattoo"" in a 24-hour period.  The characters are picked up where they left off, with Salander now a world-traveling billionaire and Blomkvist back at his beloved Millennium newspaper.  The story this time around revolves around a journalist and his girlfriend who are murdered on the eve of exposing many high-ranking and public Swedish officials in a sex trafficking scandal.  They are murdered and Lisbeth Salander is the main suspect.  Blomkvist and her mentor Dragan Armansky are convinced of her innocence and set about proving so.This book delves further into Lisbeth Salander's mysterious and damaged psyche.  We learn the root of ""all the Evil"" that was referenced in the first book as well as the mystery of her family.  It's all delicious and makes for one hell of a ride!",,
Amazon Customer,"Reviewed in the United States on May 12, 2010",,5.0 out of 5 stars,2nd one is even better than the first,"Larsson's writing and its translation are better the 2nd go around.The second of the Millenium trilogy begins with a story for Mikael's paper on the sex trade. Especially why it continues to proliferate in spite of some of the most stringent laws on the books in all of Europe.The journalist pitching it is writing it in tandem with his girlfriend's thesis. People in the highest echelon are involved in the sex trade and its cover-up.  They work with Mikael and his magazine and do not cross until Lisbeth meets them on the same evening they are murdered. Lisbeth becomes the prime suspect.As a result, Lisbeth and her life are under a microscope by the police. As a result, all of Lisbeth's contacts are drawn into investigating her past and searching for the true murderer.  The search brings to light all the playersinvolved in her ""guardianship"" and hospitalization at a sanitarium as a teen.The climax is a true testament to the fleshing out of the Lisbeth character.",,
Nathan Brunaugh,"Reviewed in the United States on September 28, 2015",2 people found this helpful,2.0 out of 5 stars,The Revolution (sexual) will be Serialized.,"I stopped reading the book halfway through.  It just got to be too obviously a ""Larsson wet dream"".  This series started off as a potentially decent critique of post 2000 crime journalism, but after a book and a half I've realized it's really about post 2000 sexuality set in the context of crime journalism.Larsson wrote these books without ever expecting them to be read, and now I know why.  He is fantasizing about what it would be like to be a journalist who gets to bang everyone.  All while saving the world with the help of a strong female lead whom he also gets to bang.  Is this what Larsson thinks progress looks like?  Count me out.",,
Eastonboy,"Reviewed in the United States on September 29, 2016",,3.0 out of 5 stars,Good read for Mystery fans,"Does anyone in this Stieg Larsson novel NOT have a vice? It got to be a little distracting as the story moved along and we are privy to everyone's peccadilloes; sometimes so briefly or irrelevant one wonders why it is included.Otherwise, a typically excellent yarn by Larsson, though not as strong as the 1st book in the series. The set-up is tense but the payoff is a bit of a let down. Lisbeth's extraordinary mental and now physical abilities are beginning to strain the limits of believability.",,
Omar L. Harris,"Reviewed in the United States on June 21, 2015",,3.0 out of 5 stars,Filling in the Blanks,"One of the keys to a successful series is leveraging every inch of the characters backstory to good effect. Lisbeth Salander has a history and the author uses The Girl Who Played with Fire to tell it in excruciating detail. Key word there is tell. My issue with the author is mainly his forensic style of writing where he details every occurrence no matter how minor. Gives the impression that the book could have been 25% less dense and much more enjoyable. That being said, it is fascinating to learn more about the titular character. I will continue the series to find out the conclusion.",,
